"Ad_Category","Placebo_Difference","Placebo_SE","X20mg_Difference","X20mg_SE","X50mg_Difference","X50mg_SE"
"Slow",8.03390108090403,2.07222346101201,8.61631351105035,2.66482589703799,4.95263157894737,1.694144114119
"Rapid",9.9379827771002,1.51194774487016,11.3541184679226,1.5961426940352,12.1879983643427,1.51165057233172
"Entire",8.98594192900212,1.23755656813978,9.98521598948647,1.37809811398344,8.57031497164502,1.21413487535449
