"sample_size","power","group"
1000,1,"Slow"
1010,1,"Slow"
1020,1,"Slow"
1030,1,"Slow"
1040,1,"Slow"
1050,1,"Slow"
1060,0.99999999999995,"Slow"
1070,1,"Slow"
1080,1,"Slow"
1090,1,"Slow"
1100,1,"Slow"
1110,0.999999999999689,"Slow"
1120,1,"Slow"
1130,1,"Slow"
1140,1,"Slow"
1150,1,"Slow"
1160,1,"Slow"
1170,1,"Slow"
1180,1,"Slow"
1190,1,"Slow"
1200,1,"Slow"
1210,1,"Slow"
1220,1,"Slow"
1230,1,"Slow"
1240,1,"Slow"
1250,1,"Slow"
1260,1,"Slow"
1270,0.999999999999634,"Slow"
1280,1,"Slow"
1290,1,"Slow"
1300,1,"Slow"
1310,1,"Slow"
1320,1,"Slow"
1330,0.999999999999984,"Slow"
1340,1,"Slow"
1350,0.999999999999142,"Slow"
1360,1,"Slow"
1370,0.99999999999949,"Slow"
1380,0.999999999999346,"Slow"
1390,0.999999999999608,"Slow"
1400,1,"Slow"
1410,1,"Slow"
1420,1,"Slow"
1430,0.999999999998847,"Slow"
1440,1,"Slow"
1450,0.999999999999728,"Slow"
1460,1,"Slow"
1470,1,"Slow"
1480,1,"Slow"
1490,0.999999999999646,"Slow"
1500,0.999999999999737,"Slow"
10,0.0612705971830021,"All Progressive"
20,0.0740152428365429,"All Progressive"
30,0.0868878073669753,"All Progressive"
40,0.0998865842327323,"All Progressive"
50,0.112996602317282,"All Progressive"
60,0.126201357133691,"All Progressive"
70,0.139484459659793,"All Progressive"
80,0.152830032410781,"All Progressive"
90,0.166222828407763,"All Progressive"
100,0.179648267221536,"All Progressive"
110,0.193092440894252,"All Progressive"
120,0.206542107329216,"All Progressive"
130,0.219984677905922,"All Progressive"
140,0.233408202260083,"All Progressive"
150,0.246801351594841,"All Progressive"
160,0.260153401232812,"All Progressive"
170,0.273454212794014,"All Progressive"
180,0.286694216224204,"All Progressive"
190,0.299864391821398,"All Progressive"
200,0.312956252335119,"All Progressive"
210,0.325961825223242,"All Progressive"
220,0.3388736350996,"All Progressive"
230,0.351684686409786,"All Progressive"
240,0.364388446364257,"All Progressive"
250,0.376978828148709,"All Progressive"
260,0.389450174429796,"All Progressive"
270,0.401797241169127,"All Progressive"
280,0.414015181763727,"All Progressive"
290,0.42609953150777,"All Progressive"
300,0.438046192401357,"All Progressive"
310,0.449851418300308,"All Progressive"
320,0.461511800416125,"All Progressive"
330,0.473024253168147,"All Progressive"
340,0.484386000393044,"All Progressive"
350,0.495594561909528,"All Progressive"
360,0.506647740442048,"All Progressive"
370,0.517543608899982,"All Progressive"
380,0.528280498016712,"All Progressive"
390,0.538856984338171,"All Progressive"
400,0.549271878571245,"All Progressive"
410,0.5595242142731,"All Progressive"
420,0.5696132368945,"All Progressive"
430,0.579538393160702,"All Progressive"
440,0.589299320793552,"All Progressive"
450,0.598895838567834,"All Progressive"
460,0.608327936694523,"All Progressive"
470,0.617595767528198,"All Progressive"
480,0.626699636594587,"All Progressive"
490,0.635639993929714,"All Progressive"
