"Ad_Category","Placebo_Difference","Placebo_SE","X20mg_Difference","X20mg_SE","X50mg_Difference","X50mg_SE"
"Slow",3.31890861111111,4.19001692775738,-8.52125329749104,4.914001801884,-12.7543414327485,3.78588292167898
"Rapid",-3.76842203399123,3.97009278049647,-21.666950602384,3.45314489079569,-25.5491449361791,3.44661674645744
"All Progressive",-0.224756711440065,3.17168510804621,-15.0941019499375,2.94221982951836,-19.1517431844638,2.83884874988225
